条码,开始时间,结束时间,耗时,传参,Code,message,进站方式,
001CB1U0000001AB96503252,2020/11/12-0:06:44.515,2020/11/12-0:06:44.547,30ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001AB96503252"},0,OK,自动
001CB1U0000001ABC6500016,2020/11/12-0:07:09.469,2020/11/12-0:07:10.537,67ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500016"},0,OK,自动
001CB1U0000001ABC6500018,2020/11/12-0:07:15.130,2020/11/12-0:07:15.178,47ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500018"},0,OK,自动
001CB1U0000001ABC6500020,2020/11/12-0:07:23.379,2020/11/12-0:07:23.420,41ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500020"},0,OK,自动
001CB1U0000001ABC6500022,2020/11/12-0:07:37.427,2020/11/12-0:07:37.475,47ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500022"},0,OK,自动
001CB1U0000001ABC6500024,2020/11/12-0:07:45.361,2020/11/12-0:07:45.395,33ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500024"},0,OK,自动
001CB1U0000001ABC6500026,2020/11/12-0:08:04.778,2020/11/12-0:08:04.812,33ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500026"},0,OK,自动
001CB1U0000001ABC6500030,2020/11/12-0:08:12.899,2020/11/12-0:08:12.952,53ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500030"},0,OK,自动
001CB1U0000001ABC6500032,2020/11/12-0:08:18.245,2020/11/12-0:08:18.296,50ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500032"},0,OK,自动
001CB1U0000001ABC6500034,2020/11/12-0:08:27.517,2020/11/12-0:08:27.562,44ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500034"},0,OK,自动
001CB1U0000001ABC6500036,2020/11/12-0:08:43.062,2020/11/12-0:08:43.111,48ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500036"},0,OK,自动
001CB1U0000001ABC6500038,2020/11/12-0:08:51.213,2020/11/12-0:08:51.266,52ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500038"},0,OK,自动
001CB1U0000001ABC6500040,2020/11/12-0:09:06.279,2020/11/12-0:09:06.313,33ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500040"},0,OK,自动
001CB1U0000001ABC6500044,2020/11/12-0:09:24.683,2020/11/12-0:09:24.716,32ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500044"},0,OK,自动
001CB1U0000001ABC6500046,2020/11/12-0:09:32.813,2020/11/12-0:09:32.864,50ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500046"},0,OK,自动
001CB1U0000001ABC6500048,2020/11/12-0:09:45.402,2020/11/12-0:09:45.440,37ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500048"},0,OK,自动
001CB1U0000001ABC6500050,2020/11/12-0:09:58.778,2020/11/12-0:09:58.826,47ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500050"},0,OK,自动
001CB1U0000001ABC6500058,2020/11/12-0:10:09.752,2020/11/12-0:10:09.782,29ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500058"},0,OK,自动
001CB1U0000001ABC6500062,2020/11/12-0:10:26.755,2020/11/12-0:10:26.807,51ms,{"operation":"PRWELD"，"operationRevision":"#"，"site":"2002"，"sfc":"001CB1U0000001ABC6500062"},0,OK,自动
